Constituintes Autorizados,CAS,Especificações,Função,Alegações autorizadas e requisitos para uso da alegação,Requisitos de Rotulagem Complementar e outros,Outras Informações
Gluconato de zinco,4468-02-4.,"USP-NF 

FCC",Fonte de Zinco,"1) Alegação: O zinco é um antioxidante que auxilia na proteção dos danos causados pelos radicais livres. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: O zinco auxilia na visão. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
3) Alegação: O zinco auxilia no metabolismo da vitamina A. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
4) Alegação: O zinco contribui para a manutenção do cabelo, da pele e das unhas. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
5) Alegação: O zinco auxilia no metabolismo de proteínas, carboidratos e gorduras. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
6) Alegação: O zinco auxilia na síntese de proteínas. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
7) Alegação: O zinco auxilia no processo de divisão celular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
8) Alegação: O zinco auxilia na manutenção de ossos. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
9) Alegação: O zinco auxilia no funcionamento do sistema imune. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
10) Alegação: Fonte de zinco.Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de zinco atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
11) Alegação: Alto conteúdo/Rico em/Alto teor de zinco. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de zinco corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Gluconato ferroso,299-29-6,"FCC 

53rd JECFA (1999), FNP 52 Add 7 (1999), FAO JECFA MONOGRAPHS 1 (2006)

USP-NF",Fonte de Ferro,"1)Alegação: O ferro auxilia na formação das células vermelhas do sangue. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de ferro atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: O ferro auxilia no metabolismo energético. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de ferro atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
3) Alegação: O ferro auxilia no transporte do oxigênio no organismo. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de ferro atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
4) Alegação: O ferro auxilia no processo de divisão celular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de ferro atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
5) Alegação: O ferro auxilia no funcionamento do sistema imune. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de ferro atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
6) Alegação: Fonte de ferro. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de ferro atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. 
7) Alegação: Alto conteúdo/Rico em/Alto teor de ferro. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de ferro corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Glutamato de cálcio,19238-49-4,"31st JECFA (1987), FNP 38 (1988), FNP 52 (1992), FAO JECFA MONOGRAPHS 1 (2006)",Fonte do aminoácido Ácido L-Glutâmico,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,"A advertência ""Este produto não deve ser consumido por gestantes, lactantes e crianças"" deve constar na rotulagem do produto.

Constituintes permitidos apenas para suplementos líquidos de carboidratos e eletrólitos, desde que o teor de potássio não ultrapasse 700 miligramas por litro.",
Glutamato de potássio,19473-49-5,FCC,Fonte do aminoácido Ácido L-Glutâmico,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,"A advertência ""Este produto não deve ser consumido por gestantes, lactantes e crianças"" deve constar na rotulagem do produto.",
Glutationa obtida a partir de fermentação por E. coli W,70-18-8,"Farmacopeias Europeia

Farmacopeia Japonesa

USP-NG",Fonte de glutationa,"1) Alegação: Pessoas sob uso de medicamentos devem consultar o médico antes de consumir este produto""","A advertência ""Este produto não deve ser consumido por gestantes, lactantes e crianças. Pessoas com enfermidades e/ou sob o uso de medicamentos, consulte seu médico"" deve constar na rotulagem do produto.",
Goma acácia ou arábica (Acacia senegalL.),9000-01-05,"FCC 

73rd JECFA (2010), FAO JECFA MONOGRAPHS 7 (2009) 

51st JECFA (1998), FNP 52 Add 6 (1998), FNP 52 Add 7 (1999), 49th JECFA (1997), FNP 52 Add 5 (1997), FAO JECFA MONOGRAPHS 1 (2006)

USP-NF",Fonte de fibras alimentares,"1) Alegação: As fibras alimentares auxiliam no funcionamento do intestino.
Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: Fonte de fibras. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Goma guar (Cyamoposis tetragonolobus),9000-30-0,"The EFSA Journal 2017;15(2):4669

FCC

69th JECFA (2008), FAO JECFA MONOGRAPHS 5 (2008)

 USP-NF",Fonte de fibras alimentares,"1) Alegação: As fibras alimentares auxiliam no funcionamento do intestino.
Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: Fonte de fibras. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Goma Guar parcialmente hidrolisada,,Para esse constituinte foram aprovadas as especificações do fabricante: Taiyo Kagaku Ltd,Fonte de fibras alimentares,"1) Alegação: As fibras alimentares auxiliam no funcionamento do intestino.
Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: Fonte de fibras. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Guaraná em pó (Paullinia cupana),,"USP-NF  

Farmacopeia Brasileira, 6a Edição, PM050-00 (Monografia: Guaraná, semente)",Fonte de Cafeína,"1) Alegação:  A cafeína auxilia no aumento do estado de alerta e na melhora da concentração. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de cafeína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: A cafeína auxilia no aumento da capacidade de resistência e no desempenho de exercícios físicos de resistência. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade recomendada de cafeína seja de 200 mg, consumida uma hora antes do exercício.","A advertência ""Este produto não deve ser consumido por gestantes, lactantes e crianças"" deve constar na rotulagem do produto.",
Hialuronato de Sódio obtido pela fermentação de Streptococcus zooepidemicus,9067-32-7,Farmacopeia Europeia 7° Edição,Fonte de ácido hialurônico,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,"A advertência ""Este produto não deve ser consumido por gestantes, lactantes e crianças"" deve constar na rotulagem do produto.",
Hidrolisado da membrana da casca de ovo,,Para esse constituinte foram aprovadas as especificações do fabricante: Biova LLC - EUA,Fonte de Colágeno,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,"A advertência ""Este produto não deve ser consumido por indivíduos portadores de alergia à proteína de ovo."" “Este produto não deve ser consumido por gestantes, lactantes e crianças.” deve constar na rotulagem do produto.",Aprovado pela Resolução RE Nº  1113 de 07/04/2022 - Autorizado apenas para os peticionantes até a inclusão na IN 28/2018 e suas atualizações.
Hidrolisado da membrana da casca de ovo,,Para esse constituinte foram aprovadas as especificações do fabricante: Biova LLC - EUA,Fonte de Glicosaminoglicanos,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,"A advertência ""Este produto não deve ser consumido por indivíduos portadores de alergia à proteína de ovo."" “Este produto não deve ser consumido por gestantes, lactantes e crianças.” deve constar na rotulagem do produto.",Aprovado pela Resolução RE Nº  1113 de 07/04/2022 - Autorizado apenas para os peticionantes até a inclusão na IN 28/2018 e suas atualizações.
Hidrolisado de pectina de cenoura (Daucus carota sativus) rico em ramnogalacturonano (cRG-I),,"Para este constituinte foram aprovadas as especificações do fabricante: NutriLeads B.V. Wageningen, Países Baixos.",Fonte de Ramnogalacturonano,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,"A advertência ""Este produto não deve ser consumido por gestantes, lactantes e crianças."" deve constar na rotulagem do produto.",
Hidrolisado de proteína do leite de vaca,117592-45-7 (alfa-casozepina),Para esse ingrediente foram aprovadas as especificações do fabricante: Ingredia Nutritional - França,Fonte de Alfa-Casozepina,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,"A advertência “Este produto não deve ser consumido por gestantes, lactantes e crianças"" deve constar na rotulagem do produto.",
Hidrolisado Proteico de Soro de Leite,,"Para este constituinte foram aprovadas as especificações do fabricante: Ingredia. Saint-Pol-Sur-Ternoise, França.",Fonte de peptídeos bioativos,Não autorizada alegação de propriedade funcional e/ou saúde para esse ingrediente.,"A advertência ""Este produto não deve ser consumido por gestantes, lactantes e crianças.” deve constar na rotulagem do produto.",
Hidróxido de cálcio,1305-62-0,"FCC 

19th JECFA (1975), NMRS 55B (1976), FNP 52 (1992), FAO JECFA MONOGRAPHS 1 (2006)

European pharmacopoeia 9.0

USP-NF",Fonte de Cálcio,"1) Alegação: O cálcio auxilia na formação e manutenção de ossos e dentes. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: O cálcio auxilia na coagulação do sangue. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
3) Alegação: O cálcio auxilia no funcionamento muscular. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
4) Alegação: O cálcio auxilia no funcionamento neuromuscular. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
5) Alegação: O cálcio auxilia no processo de divisão celular. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
6) Alegação: O cálcio auxilia no metabolismo energético. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
7) Alegação: Fonte de cálcio. Requisito: As alegações são restritas aos suplementos alimentares cuja quantidade de cálcio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
8) Realagação: Alto conteúdo/Rico em/Alto teor de cálcio. Requisitos:
A alegação é restrita aos suplementos alimentares cuja quantidade de cálcio corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido.",Não há requisitos adicionais,
